match_number,date,day_of_week,time_pt,team1,team2,group,stage,venue,venue_address,notes,source_url
M4,2026-06-12,Friday,18:00,USA,Paraguay,D,Group Stage,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",Opening match in LA,https://www.sofistadium.com/news/detail/los-angeles-final-match-schedule-for-the-fifa-world-cup-2026-now-available
M15,2026-06-15,Monday,18:00,Iran,New Zealand,G,Group Stage,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",,https://www.sofistadium.com/news/detail/los-angeles-final-match-schedule-for-the-fifa-world-cup-2026-now-available
M26,2026-06-18,Thursday,12:00,Switzerland,Bosnia and Herzegovina,B,Group Stage,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",European Play-Off A winner confirmed as Bosnia and Herzegovina,https://losangelesfwc26.com/fifa-world-cup-2026-match-schedule-now-complete-for-los-angeles-following-european-play-off-qualifiers/
M39,2026-06-21,Sunday,12:00,Belgium,Iran,G,Group Stage,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",,https://www.sofistadium.com/news/detail/los-angeles-final-match-schedule-for-the-fifa-world-cup-2026-now-available
M59,2026-06-25,Thursday,19:00,Türkiye,USA,D,Group Stage,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",European Play-Off C winner confirmed as Türkiye,https://losangelesfwc26.com/fifa-world-cup-2026-match-schedule-now-complete-for-los-angeles-following-european-play-off-qualifiers/
M73,2026-06-28,Sunday,12:00,TBD,TBD,Round of 32,Round of 32,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",Knockout stage,https://www.sofistadium.com/news/detail/los-angeles-final-match-schedule-for-the-fifa-world-cup-2026-now-available
M84,2026-07-02,Thursday,12:00,TBD,TBD,Round of 32,Round of 32,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",Knockout stage,https://www.sofistadium.com/news/detail/los-angeles-final-match-schedule-for-the-fifa-world-cup-2026-now-available
M98,2026-07-10,Friday,12:00,TBD,TBD,Quarter-Finals,Quarter-Finals,SoFi Stadium,"1001 S. Stadium Drive, Inglewood, CA 90301",Knockout stage,https://www.sofistadium.com/news/detail/los-angeles-final-match-schedule-for-the-fifa-world-cup-2026-now-available
