event_key,event_name,category,event_type,venue_name,area,city,address,start_date,end_date,event_time,source_sheet,record_id,source_url,verification_status,notes,detail_type,event_id,event_category_id
Los Angeles Dodgers vs Baltimore Orioles|nan|2026-06-21|other_matches,Los Angeles Dodgers vs Baltimore Orioles,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1000 Vin Scully Ave, Los Angeles, CA 90012",2026-06-21,2026-06-21,,other_matches,,,,,sports,124,23
Los Angeles Sparks vs New York Liberty|nan|2026-06-21|other_matches,Los Angeles Sparks vs New York Liberty,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1111 S. Figueroa Street, Los Angeles, CA 90015",2026-06-21,2026-06-21,,other_matches,,,,,sports,125,23
SoCal Pro Series: Claremont|nan|2026-06-22|other_matches,SoCal Pro Series: Claremont,Other Sports Events,,,"Claremont, CA","Claremont, CA","606 E 6th St, Claremont, CA 91711",2026-06-22,2026-06-28,,other_matches,,,,,sports,126,23
Los Angeles Angels vs Baltimore Orioles|nan|2026-06-22|other_matches,Los Angeles Angels vs Baltimore Orioles,Other Sports Events,,,"Anaheim, CA","Anaheim, CA","2000 Gene Autry Way, Anaheim, CA 92806",2026-06-22,2026-06-22,,other_matches,,,,,sports,127,23
Los Angeles Angels vs Baltimore Orioles|nan|2026-06-23|other_matches,Los Angeles Angels vs Baltimore Orioles,Other Sports Events,,,"Anaheim, CA","Anaheim, CA","2000 Gene Autry Way, Anaheim, CA 92806",2026-06-23,2026-06-23,,other_matches,,,,,sports,128,23
Los Angeles Angels vs Baltimore Orioles|nan|2026-06-24|other_matches,Los Angeles Angels vs Baltimore Orioles,Other Sports Events,,,"Anaheim, CA","Anaheim, CA","2000 Gene Autry Way, Anaheim, CA 92806",2026-06-24,2026-06-24,,other_matches,,,,,sports,129,23
Los Angeles Angels vs Athletics|nan|2026-06-26|other_matches,Los Angeles Angels vs Athletics,Other Sports Events,,,"Anaheim, CA","Anaheim, CA","2000 Gene Autry Way, Anaheim, CA 92806",2026-06-26,2026-06-26,,other_matches,,,,,sports,130,23
Los Angeles Angels vs Athletics|nan|2026-06-27|other_matches,Los Angeles Angels vs Athletics,Other Sports Events,,,"Anaheim, CA","Anaheim, CA","2000 Gene Autry Way, Anaheim, CA 92806",2026-06-27,2026-06-27,,other_matches,,,,,sports,131,23
Los Angeles Angels vs Athletics|nan|2026-06-28|other_matches,Los Angeles Angels vs Athletics,Other Sports Events,,,"Anaheim, CA","Anaheim, CA","2000 Gene Autry Way, Anaheim, CA 92806",2026-06-28,2026-06-28,,other_matches,,,,,sports,132,23
Los Angeles Dodgers vs San Diego Padres|nan|2026-07-02|other_matches,Los Angeles Dodgers vs San Diego Padres,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1000 Vin Scully Ave, Los Angeles, CA 90012",2026-07-02,2026-07-02,,other_matches,,,,,sports,133,23
Los Angeles Dodgers vs San Diego Padres|nan|2026-07-03|other_matches,Los Angeles Dodgers vs San Diego Padres,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1000 Vin Scully Ave, Los Angeles, CA 90012",2026-07-03,2026-07-03,,other_matches,,,,,sports,134,23
Los Angeles Dodgers vs San Diego Padres|nan|2026-07-04|other_matches,Los Angeles Dodgers vs San Diego Padres,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1000 Vin Scully Ave, Los Angeles, CA 90012",2026-07-04,2026-07-04,,other_matches,,,,,sports,135,23
Los Angeles Dodgers vs San Diego Padres|nan|2026-07-05|other_matches,Los Angeles Dodgers vs San Diego Padres,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1000 Vin Scully Ave, Los Angeles, CA 90012",2026-07-05,2026-07-05,,other_matches,,,,,sports,136,23
Los Angeles Sparks vs Seattle Storm|nan|2026-07-06|other_matches,Los Angeles Sparks vs Seattle Storm,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1111 S. Figueroa Street, Los Angeles, CA 90015",2026-07-06,2026-07-06,,other_matches,,,,,sports,137,23
Los Angeles Sparks vs Indiana Fever|nan|2026-07-08|other_matches,Los Angeles Sparks vs Indiana Fever,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1111 S. Figueroa Street, Los Angeles, CA 90015",2026-07-08,2026-07-08,,other_matches,,,,,sports,138,23
Los Angeles Sparks vs Chicago Sky|nan|2026-07-10|other_matches,Los Angeles Sparks vs Chicago Sky,Other Sports Events,,,"Los Angeles, CA","Los Angeles, CA","1111 S. Figueroa Street, Los Angeles, CA 90015",2026-07-10,2026-07-10,,other_matches,,,,,sports,139,23
